REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2020/01/01 00:30:00,1419.45,68.33,TRADE
SA1,2020/01/01 01:00:00,1361.94,68.33,TRADE
SA1,2020/01/01 01:30:00,1256.3,68.76,TRADE
SA1,2020/01/01 02:00:00,1202.3,68.42,TRADE
SA1,2020/01/01 02:30:00,1170.07,68.25,TRADE
SA1,2020/01/01 03:00:00,1151.99,68,TRADE
SA1,2020/01/01 03:30:00,1133.61,68,TRADE
SA1,2020/01/01 04:00:00,1125.55,65.65,TRADE
SA1,2020/01/01 04:30:00,1118.56,60.66,TRADE
SA1,2020/01/01 05:00:00,1120.8,57.42,TRADE
SA1,2020/01/01 05:30:00,1124.89,59.95,TRADE
SA1,2020/01/01 06:00:00,1119.88,56.87,TRADE
SA1,2020/01/01 06:30:00,1089.95,45.85,TRADE
SA1,2020/01/01 07:00:00,1049.18,36.27,TRADE
SA1,2020/01/01 07:30:00,991.23,42.56,TRADE
SA1,2020/01/01 08:00:00,927.15,38.79,TRADE
SA1,2020/01/01 08:30:00,848.82,31.55,TRADE
SA1,2020/01/01 09:00:00,761.16,6.40,TRADE
SA1,2020/01/01 09:30:00,686.57,21.70,TRADE
SA1,2020/01/01 10:00:00,623.05,11.32,TRADE
SA1,2020/01/01 10:30:00,559.1,18.94,TRADE
SA1,2020/01/01 11:00:00,534.18,26.69,TRADE
SA1,2020/01/01 11:30:00,494.12,29.10,TRADE
SA1,2020/01/01 12:00:00,468.22,29.66,TRADE
SA1,2020/01/01 12:30:00,458.89,24.75,TRADE
SA1,2020/01/01 13:00:00,475.46,29.69,TRADE
SA1,2020/01/01 13:30:00,486.47,29.97,TRADE
SA1,2020/01/01 14:00:00,489.6,32.41,TRADE
SA1,2020/01/01 14:30:00,513.62,32.77,TRADE
SA1,2020/01/01 15:00:00,565.77,36.41,TRADE
SA1,2020/01/01 15:30:00,615.46,36.66,TRADE
SA1,2020/01/01 16:00:00,682.56,43.94,TRADE
SA1,2020/01/01 16:30:00,789.69,52.86,TRADE
SA1,2020/01/01 17:00:00,887.52,55.44,TRADE
